index_x,index_y,index_z,middle_x,middle_y,middle_z,ring_x,ring_y,ring_z,lable
5.980014153,13.22268327,1.075739241,5.111776216,64.40583533,-0.118764224,3.139148603,65.35860345,-0.26344052,X
5.99456157,12.93342963,1.075553998,5.124172723,63.00160895,-0.118752528,3.146750897,63.93410612,-0.263400246,X
6.008175618,12.67481408,1.075381908,5.135787612,61.74633095,-0.118746311,3.153862261,62.66121313,-0.263362769,X
6.020566942,12.44948072,1.075226428,5.146377677,60.65263155,-0.11874571,3.160331436,61.55270196,-0.263328847,X
6.035856317,12.27034389,1.075043478,5.1594658,59.78359995,-0.118747667,3.168319003,60.67274524,-0.263288373,X
6.049869212,12.11205509,1.07487562,5.171487132,59.0153472,-0.118756927,3.175634563,59.89553287,-0.263251781,X
6.065573529,12.05895796,1.07476593,5.184987688,58.75785791,-0.118780666,3.183835446,59.63734968,-0.263230434,X
6.079883975,12.01408618,1.074663729,5.197329966,58.53809555,-0.118811852,3.191304123,59.41791272,-0.263212109,X
6.092980692,11.97689507,1.074566567,5.208670123,58.35319728,-0.118851343,3.198132785,59.23440334,-0.26319692,X
6.104722981,11.94809057,1.074474422,5.218882447,58.20667453,-0.118898218,3.204245738,59.09021627,-0.263185159,X
6.115155375,11.92752206,1.074386522,5.227990422,58.09823402,-0.118949804,3.209664599,58.98480275,-0.263176737,X
6.124769614,11.91430256,1.074297947,5.23642114,58.02334904,-0.119008845,3.214641858,58.91384769,-0.263171395,X
6.132802188,11.95399852,1.074274813,5.243512403,58.20442104,-0.119079968,3.21877782,59.10292033,-0.263185094,X
6.140050917,11.9992198,1.074245761,5.249950325,58.41046466,-0.11915807,3.22248668,59.31770686,-0.26320134,X
6.146263328,12.0468343,1.074212168,5.255506437,58.62713017,-0.119239477,3.225639674,59.54340385,-0.2632194,X
6.151829069,12.10095743,1.074171581,5.26053257,58.87353395,-0.119330337,3.22843263,59.79981195,-0.263240648,X
6.156433463,12.15642977,1.07412795,5.264732724,59.12631149,-0.119422303,3.230712595,60.06267497,-0.263263167,X
6.161683974,12.23201823,1.074218778,5.269501126,59.47560972,-0.119538609,3.233311984,60.42399637,-0.26332423,X
6.167966215,12.33443041,1.074424717,5.275157731,59.95515973,-0.119671601,3.236449274,60.91768542,-0.263417619,X
6.176371814,12.4739687,1.074727244,5.282644925,60.61575438,-0.119821016,3.240703906,61.5954188,-0.263540137,X
6.184149378,12.61137214,1.075046326,5.28961129,61.26677348,-0.119976664,3.244642637,62.26348108,-0.263671803,X
6.192696936,12.68339298,1.075440869,5.297254794,61.60227271,-0.120145453,3.249006546,62.61086255,-0.263827692,X
6.20027363,12.75101637,1.07579087,5.304084344,61.91867242,-0.120312004,3.252891225,62.93864004,-0.263977446,X
